iter	Passed	Remaining
0	23	23966
1	44	22394
2	64	21387
3	90	22630
4	118	23599
5	139	23154
6	155	22124
7	176	21919
8	197	21775
9	217	21486
10	231	20833
11	252	20801
12	270	20538
13	290	20487
14	310	20416
15	329	20268
16	349	20215
17	372	20315
18	390	20182
19	410	20117
20	430	20062
21	451	20059
22	473	20094
23	492	20015
24	511	19929
25	529	19846
26	542	19564
27	563	19554
28	583	19522
29	608	19683
30	627	19622
31	645	19539
32	665	19488
33	683	19426
34	703	19403
35	722	19345
36	741	19294
37	760	19257
38	781	19244
39	800	19206
40	822	19236
41	841	19187
42	861	19164
43	880	19140
44	897	19051
45	919	19078
46	938	19033
47	957	18997
48	976	18953
49	996	18924
50	1016	18905
51	1037	18912
52	1056	18884
53	1076	18856
54	1096	18833
55	1119	18878
56	1138	18832
57	1159	18829
58	1185	18901
59	1206	18900
60	1225	18862
61	1244	18831
62	1266	18838
63	1286	18822
64	1306	18795
65	1331	18839
66	1350	18810
67	1372	18807
68	1391	18769
69	1413	18773
70	1432	18737
71	1451	18711
72	1471	18682
73	1489	18641
74	1509	18612
75	1529	18596
76	1548	18561
77	1567	18532
78	1587	18507
79	1606	18470
80	1629	18483
81	1647	18448
82	1666	18412
83	1686	18395
84	1707	18377
85	1731	18400
86	1750	18368
87	1769	18339
88	1788	18306
89	1809	18297
90	1829	18272
91	1848	18244
92	1868	18218
93	1886	18186
94	1906	18159
95	1937	18246
96	1959	18236
97	1979	18222
98	2000	18204
99	2019	18175
100	2038	18142
101	2058	18120
102	2076	18085
103	2097	18071
104	2118	18057
105	2142	18072
106	2162	18050
107	2181	18020
108	2202	18006
109	2222	17983
110	2242	17963
111	2263	17947
112	2282	17918
113	2304	17906
114	2323	17882
115	2341	17847
116	2362	17829
117	2385	17829
118	2404	17801
119	2424	17778
120	2443	17747
121	2462	17723
122	2482	17703
123	2509	17726
124	2529	17707
125	2548	17676
126	2567	17649
127	2586	17618
128	2605	17591
129	2624	17566
130	2645	17550
131	2665	17527
132	2695	17568
133	2716	17558
134	2735	17528
135	2755	17503
136	2774	17478
137	2793	17450
138	2812	17422
139	2832	17401
140	2855	17395
141	2874	17370
142	2894	17346
143	2918	17348
144	2938	17329
145	2954	17283
146	2974	17259
147	2997	17254
148	3016	17227
149	3035	17199
150	3054	17174
151	3079	17181
152	3099	17158
153	3118	17133
154	3138	17111
155	3157	17083
156	3177	17060
157	3198	17044
158	3217	17017
159	3236	16992
160	3256	16970
161	3275	16944
162	3294	16916
163	3317	16911
164	3338	16896
165	3357	16870
166	3377	16846
167	3396	16819
168	3416	16797
169	3436	16775
170	3464	16793
171	3483	16768
172	3504	16753
173	3523	16725
174	3543	16705
175	3563	16681
176	3582	16656
177	3601	16632
178	3620	16606
179	3644	16603
180	3663	16577
181	3681	16548
182	3703	16534
183	3724	16515
184	3744	16497
185	3767	16488
186	3787	16464
187	3806	16441
188	3826	16417
189	3845	16395
190	3864	16369
191	3884	16348
192	3904	16324
193	3923	16300
194	3942	16274
195	3960	16248
196	3980	16225
197	4000	16202
198	4020	16183
199	4039	16159
200	4067	16168
201	4086	16145
202	4106	16122
203	4128	16107
204	4147	16082
205	4165	16055
206	4185	16035
207	4205	16014
208	4225	15993
209	4249	15987
210	4269	15965
211	4289	15943
212	4309	15924
213	4329	15900
214	4348	15878
215	4367	15853
216	4386	15828
217	4406	15807
218	4426	15785
219	4447	15769
220	4467	15746
221	4486	15723
222	4507	15704
223	4526	15682
224	4546	15658
225	4564	15633
226	4584	15610
227	4602	15585
228	4622	15563
229	4641	15537
230	4660	15514
231	4679	15490
232	4699	15469
233	4717	15444
234	4736	15418
235	4755	15395
236	4774	15372
237	4797	15358
238	4820	15348
239	4840	15326
240	4859	15304
241	4878	15279
242	4897	15257
243	4917	15236
244	4937	15214
245	4956	15190
246	4975	15167
247	4994	15143
248	5013	15120
249	5031	15095
250	5055	15084
251	5075	15064
252	5095	15043
253	5114	15020
254	5132	14996
255	5151	14972
256	5170	14948
257	5191	14930
258	5209	14903
259	5231	14888
260	5249	14863
261	5271	14849
262	5294	14836
263	5313	14812
264	5332	14789
265	5351	14766
266	5373	14751
267	5391	14726
268	5413	14711
269	5432	14688
270	5451	14665
271	5471	14645
272	5491	14624
273	5510	14601
274	5530	14579
275	5549	14556
276	5567	14530
277	5585	14506
278	5605	14485
279	5624	14461
280	5643	14440
281	5662	14417
282	5683	14398
283	5702	14377
284	5722	14357
285	5743	14337
286	5762	14314
287	5781	14292
288	5802	14274
289	5820	14250
290	5842	14235
291	5861	14212
292	5881	14191
293	5902	14173
294	5924	14158
295	5944	14138
296	5967	14125
297	5986	14102
298	6005	14079
299	6024	14057
300	6044	14037
301	6065	14019
302	6085	13998
303	6104	13976
304	6123	13954
305	6145	13936
306	6169	13925
307	6187	13902
308	6206	13879
309	6225	13857
310	6244	13834
311	6264	13813
312	6284	13792
313	6303	13770
314	6322	13748
315	6343	13730
316	6362	13707
317	6383	13690
318	6403	13669
319	6422	13647
320	6441	13625
321	6460	13603
322	6480	13583
323	6500	13563
324	6521	13543
325	6540	13523
326	6559	13500
327	6578	13478
328	6608	13477
329	6630	13462
330	6649	13438
331	6668	13416
332	6687	13395
333	6707	13374
334	6726	13352
335	6745	13330
336	6764	13308
337	6787	13294
338	6807	13273
339	6824	13247
340	6841	13221
341	6860	13199
342	6879	13177
343	6898	13155
344	6917	13133
345	6937	13112
346	6957	13093
347	6981	13079
348	7000	13057
349	7019	13036
350	7039	13015
351	7058	12994
352	7083	12983
353	7102	12960
354	7121	12938
355	7140	12917
356	7161	12898
357	7184	12883
358	7203	12861
359	7222	12839
360	7240	12816
361	7259	12793
362	7278	12771
363	7297	12750
364	7317	12729
365	7337	12709
366	7358	12691
367	7378	12671
368	7396	12648
369	7416	12628
370	7437	12609
371	7456	12588
372	7475	12566
373	7497	12549
374	7517	12529
375	7537	12509
376	7556	12487
377	7575	12465
378	7594	12443
379	7615	12424
380	7634	12404
381	7653	12381
382	7672	12360
383	7692	12339
384	7711	12319
385	7734	12302
386	7756	12286
387	7775	12265
388	7798	12248
389	7819	12230
390	7838	12209
391	7859	12190
392	7879	12170
393	7900	12151
394	7918	12128
395	7947	12121
396	7966	12100
397	7985	12079
398	8005	12058
399	8024	12037
400	8045	12018
401	8068	12001
402	8087	11980
403	8106	11959
404	8125	11937
405	8144	11916
406	8164	11895
407	8183	11873
408	8207	11859
409	8227	11839
410	8246	11818
411	8266	11798
412	8286	11777
413	8308	11759
414	8339	11756
415	8359	11735
416	8379	11714
417	8398	11693
418	8417	11671
419	8436	11650
420	8462	11638
421	8483	11619
422	8504	11600
423	8524	11579
424	8549	11566
425	8570	11547
426	8589	11527
427	8610	11507
428	8639	11499
429	8659	11478
430	8678	11457
431	8698	11436
432	8716	11414
433	8736	11393
434	8755	11371
435	8774	11350
436	8794	11329
437	8813	11308
438	8832	11287
439	8852	11267
440	8873	11247
441	8894	11229
442	8913	11206
443	8932	11185
444	8952	11165
445	8972	11145
446	8990	11122
447	9010	11102
448	9028	11080
449	9047	11058
450	9066	11036
451	9086	11016
452	9105	10994
453	9128	10977
454	9146	10955
455	9165	10934
456	9185	10914
457	9205	10894
458	9225	10873
459	9245	10853
460	9278	10848
461	9312	10844
462	9331	10822
463	9349	10800
464	9369	10780
465	9388	10758
466	9409	10739
467	9429	10718
468	9447	10696
469	9466	10675
470	9487	10655
471	9508	10637
472	9529	10617
473	9553	10601
474	9573	10580
475	9592	10559
476	9612	10539
477	9632	10518
478	9651	10497
479	9671	10477
480	9691	10457
481	9710	10435
482	9729	10414
483	9748	10392
484	9767	10371
485	9787	10351
486	9808	10332
487	9829	10312
488	9848	10291
489	9868	10270
490	9891	10254
491	9911	10233
492	9932	10214
493	9950	10192
494	9971	10173
495	9990	10151
496	10010	10131
497	10032	10112
498	10051	10091
499	10069	10069
500	10089	10049
501	10110	10030
502	10129	10009
503	10155	9994
504	10175	9973
505	10194	9952
506	10213	9931
507	10233	9911
508	10252	9889
509	10271	9868
510	10291	9847
511	10310	9827
512	10328	9805
513	10347	9783
514	10369	9765
515	10389	9745
516	10408	9724
517	10429	9704
518	10446	9681
519	10467	9661
520	10487	9642
521	10508	9623
522	10527	9601
523	10546	9580
524	10569	9563
525	10589	9542
526	10608	9521
527	10627	9500
528	10646	9478
529	10664	9457
530	10684	9437
531	10703	9415
532	10723	9395
533	10742	9374
534	10762	9354
535	10783	9334
536	10805	9316
537	10825	9295
538	10843	9274
539	10882	9270
540	10902	9249
541	10922	9229
542	10938	9205
543	10957	9184
544	10976	9163
545	10995	9142
546	11014	9121
547	11033	9100
548	11053	9080
549	11076	9062
550	11094	9040
551	11114	9020
552	11133	8999
553	11154	8979
554	11174	8960
555	11197	8941
556	11215	8920
557	11234	8899
558	11253	8877
559	11271	8856
560	11291	8835
561	11309	8814
562	11328	8793
563	11347	8772
564	11366	8751
565	11385	8730
566	11405	8710
567	11425	8689
568	11444	8669
569	11466	8649
570	11485	8629
571	11504	8608
572	11524	8587
573	11543	8566
574	11562	8546
575	11581	8525
576	11600	8504
577	11619	8483
578	11638	8462
579	11657	8441
580	11676	8420
581	11695	8400
582	11714	8378
583	11733	8357
584	11752	8337
585	11771	8316
586	11790	8295
587	11809	8274
588	11829	8254
589	11849	8234
590	11870	8215
591	11889	8194
592	11910	8174
593	11928	8152
594	11945	8131
595	11964	8110
596	11984	8089
597	12004	8069
598	12034	8056
599	12053	8035
600	12070	8013
601	12089	7992
602	12108	7972
603	12128	7951
604	12146	7930
605	12165	7909
606	12185	7889
607	12203	7868
608	12222	7847
609	12240	7826
610	12259	7805
611	12278	7784
612	12298	7764
613	12317	7743
614	12336	7722
615	12355	7702
616	12377	7683
617	12406	7668
618	12424	7647
619	12444	7627
620	12463	7606
621	12484	7587
622	12505	7567
623	12523	7546
624	12543	7525
625	12562	7505
626	12589	7489
627	12612	7471
628	12631	7450
629	12652	7430
630	12672	7410
631	12693	7390
632	12715	7372
633	12734	7351
634	12753	7330
635	12772	7310
636	12794	7291
637	12813	7270
638	12833	7249
639	12851	7229
640	12871	7208
641	12890	7188
